"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C2,C3","0.1u","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C4,C8","10u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C5,C6","C_Polarized","~","","2",""
"C7","1u","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"J1,J2,J4,J5","Conn_01x02_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","4",""
"J3","Conn_01x03_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"R1,R3","R","~","","2",""
"R2","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","750","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1","50K","~","Library:50K_VR","1",""
"RV2","2K","~","Library:50K_VR","1",""
"U1,U2","LM555xN","http://www.ti.com/lit/ds/symlink/lm555.pdf","Package_DIP:DIP-8_W7.62mm","2",""
